REGON;RSPO;Nazwa placówki;Rodzaj placówki;Dzielnica;Adres placówki;Kod pocztowy;Telefony;E-mail;Dyrektor;Organ prowadzący;
22173904000000;12298;Przedszkole Bajkowa Akademia;niepubliczna bez upr.publ.;Siedlce;Jacka Malczewskiego 139;80-114;58 341 44 41;"biuro@iwrd.pl;";Iwona Ruta-Sominka;Fundacja-Instytut Wspomagania Rozwoju Dziecka ;
22216899200000;125418;Angielskie Przedszkole Niepubliczne Teddy The Bear;niepubliczna bez upr.publ.;Piecki-Migowo;Magellana 14;80-288;514 647 495;"info@thebear.pl;";Anna Piórkowska;Piotr Piórkowski ;
22216898600000;125427;Calineczka Niepubliczne Przedszkole językowo-muzyczne;niepubliczna z upr.publ.;Wrzeszcz Górny;Partyzantów 8/106;80-254;535 555 080;"calineczka@jezykowo-muzyczne.pl;";Hanna Sawa;Magdalena Rutkowska-Dolna, Magdalena Stępniewska ;
22197558400000;120644;Chrześcijańskie Przedszkole Montessori ;niepubliczna z upr.publ.;Przymorze Małe;Piastowska 27;80-332;587 316 634;"kontakt@montessori.gda.pl;";Ewa Zielińska ;Chrześcijańska Fundacja Edukacji Montessori CHCEMY ;
36825687500000;264061;Chrześcijańskie Przedszkole Montessori Nr 2 ;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Kozacza Góra 74;80-180;587 316 634;"maciej.szulc@montessori.gda.pl; sekretariat2@montessori.gda.pl;";Mariusz Niewiarowski;Chrześcijańska Fundacja Edukacji Montessori CHCEMY ;
22177909600000;80502;Gdańskie Przedszkole Lingwista;niepubliczna bez upr.publ.;Śródmieście;Św. Barbary 1 ;80-753;58 303 30 33;"przedszkole@oswiatalingwista.eu;";Monika Cora;Oświata Lingwista Nadbałtyckie Centrum Edukacji Sp. z o. o. ;
22178290000000;86066;International Preschool of Gdansk / Międzynarodowe Przedszkole w Gdańsku;niepubliczna bez upr.publ.;Letnica;Sucha 29;80-351;"58 342 40 55
58 342 31 00 ";"isg@gfo.pl;";Małgorzata Kilian-Pieczonka;Gdańska Fundacja Oświatowa ;
22195482000000;120012;Królestwo Fantazji - Przedszkole Niepubliczne ;niepubliczna bez upr.publ.;Wrzeszcz Górny;Migowska 26;80-287;664 775 511;"biuro@krolestwofantazji.pl;";Joanna Długońska;Małgorzata Chojaczyk ;
36840749800000;264656;Leśne Przedszkole Montessori;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Kozacza Góra 74;80-180;661 280 259;"kontakt@lesnemontessori.gda.pl;";Małgorzata Bąk;Leśny Instytut Motessori ;
36241367000000;128771;Little Harvard Niepubliczne Przedszkole;niepubliczna bez upr.publ.;Przymorze Małe;Lęborska 3B;80-386;531 433 033;"biuro@littleharvard.pl;";"Ewa Kowalewska
Marta Romanow";Alexandru Cristian Nimu;
22175934300000;29185;Niepubliczne Edu-Przedszkole;niepubliczna bez upr.publ.;Piecki-Migowo;Trzy Lipy 3;80-172;503 855 116;"biuro@przedszkole.gpnt.pl;";Magdalena Chmarzyńska;Magdalena Chmarzyńska ;
22177638200000;66307;Niepubliczne Przedszkole Arka Noego;niepubliczna bez upr.publ.;Chełm;Wawelska 21 ;80-034;"603 566 795 dyr.
510 545 651 p-le";"arkanoego21@wp.pl;";Aleksandra Kosatka;Parafia Rzymsko-Katolicka p. w. św. Teresy Benedykty od Krzyża (Edyty Stein) ;
22174913200000;19828;Niepubliczne Przedszkole Artystyczne Fantazja-Jasień;niepubliczna bez upr.publ.;Jasień;Jabłoniowa 27;80-176;790 503 790;"sekretariat@przedszkolefantazja.pl;";Edyta Romanowska;Edyta Romanowska ;
